Time,Time Elaps,Type,Packet Number,Size
227142686,1750,PacketReceived,50,204,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 3, 'length: 185', 'offset: 185']]"
227142688,1752,PacketReceived,51,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1235', 'offset: 0']]"
227142691,1755,PacketSent,31,28,1872,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 51', 'missing_packets: []', 'delta_time_largest_observed_us: 237', 'received_packet_times: []']]"
227142691,1755,PacketReceived,52,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 1235']]"
227142692,1756,PacketReceived,53,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 2468']]"
227142692,1756,PacketSent,32,28,1871,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 53', 'missing_packets: []', 'delta_time_largest_observed_us: 413', 'received_packet_times: []']]"
227142693,1757,PacketReceived,54,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 3701']]"
227142694,1758,PacketReceived,55,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 4934']]"
227142695,1759,PacketSent,33,28,1868,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 55', 'missing_packets: []', 'delta_time_largest_observed_us: 205', 'received_packet_times: []']]"
227142696,1760,PacketReceived,56,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 6167']]"
227142697,1761,PacketReceived,57,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 7400']]"
227142697,1761,PacketSent,34,28,1866,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 57', 'missing_packets: []', 'delta_time_largest_observed_us: 192', 'received_packet_times: []']]"
227142699,1763,PacketReceived,58,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 8633']]"
227142708,1772,PacketReceived,59,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 9866']]"
227142709,1773,PacketSent,35,28,1854,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 59', 'missing_packets: []', 'delta_time_largest_observed_us: 1571', 'received_packet_times: []']]"
227142710,1774,PacketReceived,60,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 11099']]"
227142710,1774,PacketReceived,61,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 12332']]"
227142711,1775,PacketSent,36,28,1852,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 61', 'missing_packets: []', 'delta_time_largest_observed_us: 862', 'received_packet_times: []']]"
227142711,1775,PacketReceived,62,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 13565']]"
227142711,1775,PacketReceived,63,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 14798']]"
227142712,1776,PacketSent,37,28,1851,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 63', 'missing_packets: []', 'delta_time_largest_observed_us: 158', 'received_packet_times: []']]"
227142714,1778,PacketReceived,64,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 16031']]"
227142714,1778,PacketReceived,65,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 17264']]"
227142715,1779,PacketSent,38,28,1848,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 65', 'missing_packets: []', 'delta_time_largest_observed_us: 182', 'received_packet_times: []']]"
227142715,1779,PacketReceived,66,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 18497']]"
227142719,1783,PacketReceived,67,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 19730']]"
227142721,1785,PacketSent,39,28,1842,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 67', 'missing_packets: []', 'delta_time_largest_observed_us: 1045', 'received_packet_times: []']]"
227142721,1785,PacketReceived,68,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 20963']]"
227142721,1785,PacketReceived,69,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 7, 'length: 1233', 'offset: 22196']]"
