time,time_elaps,event_type,source_id,source_type,phase,source_dependency_id,source_dependency_type,other_data
322878418,5332,QUIC_SESSION_CRYPTO_HANDSHAKE_MESSAGE_SENT,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""quic_crypto_handshake_message"": ""CHLO<\n  SNI : \""info.snomile.ink\""\n  STK : 0xd984c52655d2ca6b330f8ba270fd34326f00362ac13345d0aedf869a2f420d4ff978cc24256a65b4e9a626014d2541e626cc59fb768a8369ade5c45788fb2f71aab8dad04b6d6ceba8ef43\n  VER : 'Q043'\n  CCS : 0x01e8816092921ae87eed8086a2158291\n  UAID: \""com.startimes.cronet_localsample Cronet/80.0.3956.0\""\n  SCID: 0x711a039bbf9eb72cdef2d0978b4fecd4\n  TCID: 0\n  PDMD: 'X509'\n  SMHL: 0x01000000\n  ICSL: 30\n  NONP: 0xac9dea9a958ba1a4ac35de5dab22361437be4417871713b0cd2753411fc18e02\n  MIDS: 100\n  SCLS: 1\n  CSCT: 0x\n  COPT: 'NSTP'\n  CFCW: 15728640\n  SFCW: 6291456\n>""}, ""phase"": 0}"
322878418,5332,QUIC_SESSION_STREAM_FRAME_SENT,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""fin"": false, ""length"": 1024, ""offset"": 1024, ""stream_id"": 1}, ""phase"": 0}"
322878418,5332,QUIC_SESSION_PADDING_FRAME_SENT,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""num_padding_bytes"": -1}, ""phase"": 0}"
322878420,5334,UDP_BYTES_SENT,8,UDP_SOCKET,PHASE_NONE,N/A,N/A,"{""params"": {""byte_count"": 1350, ""bytes"": ""DG8ckFeCs6hDAjNHEqUEnEoz766BZqQBBAAEAENITE8SAAAAUEFEAHICAABTTkkAggIAAFNUSwDNAgAAVkVSANECAABDQ1MA4QIAAFVBSUQUAwAAU0NJRCQDAABUQ0lEKAMAAFBETUQsAwAAU01ITDADAABJQ1NMNAMAAE5PTlBUAwAATUlEU1gDAABTQ0xTXAMAAENTQ1RcAwAAQ09QVGADAABDRkNXZAMAAFNGQ1doAwAALS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS1pbmZvLnNub21pbGUuaW5r2YTFJlXSymszD4uicP00Mm8ANirBM0XQrt+Gmi9CDU/5eMwkJWpltOmmJgFNJUHmJsxZ+3aKg2mt5cRXiPsvcaq42tBLbWzrqO9DUTA0MwHogWCSkhrofu2AhqIVgpFjb20uc3RhcnRpbWVzLmNyb25ldF9sb2NhbHNhbXBsZSBDcm9uZXQvODAuMC4zOTU2LjBxGgObv563LN7y0JeLT+zUAAAAAFg1MDkBAAAAHgAAAKyd6pqVi6GkrDXeXasiNhQ3vkQXhxcTsM0nU0EfwY4CZAAAAAEAAABOU1RQAADwAAAAYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA""}, ""phase"": 0}"
322878420,5334,QUIC_SESSION_PACKET_SENT,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""encryption_level"": ""ENCRYPTION_INITIAL"", ""packet_number"": 2, ""sent_time_us"": 322878418662, ""size"": 1350, ""transmission_type"": ""NOT_RETRANSMISSION""}, ""phase"": 0}"
322878420,5334,UDP_BYTES_RECEIVED,8,UDP_SOCKET,PHASE_NONE,N/A,N/A,"{""params"": {""address"": ""10.0.228.164:443"", ""byte_count"": 29, ""bytes"": ""GG8ckFeCs6hDAAK2x/wujq6IFLgxA0hAAQH1AQA=""}, ""phase"": 0}"
322878420,5334,QUIC_SESSION_PACKET_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""peer_address"": ""10.0.228.164:443"", ""self_address"": ""172.19.19.121:40399"", ""size"": 29}, ""phase"": 0}"
322878420,5334,QUIC_SESSION_UNAUTHENTICATED_PACKET_HEADER_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""connection_id"": ""0"", ""header_format"": ""GOOGLE_QUIC_PACKET"", ""packet_number"": 2, ""reset_flag"": 0, ""version_flag"": 0}, ""phase"": 0}"
322878420,5334,QUIC_SESSION_PACKET_AUTHENTICATED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""phase"": 0}"
322878420,5334,QUIC_SESSION_ACK_FRAME_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""delta_time_largest_observed_us"": 501, ""largest_observed"": 1, ""missing_packets"": [], ""received_packet_times"": []}, ""phase"": 0}"
322878433,5347,UDP_BYTES_RECEIVED,8,UDP_SOCKET,PHASE_NONE,N/A,N/A,"{""params"": {""address"": ""10.0.228.164:443"", ""byte_count"": 29, ""bytes"": ""GG8ckFeCs6hDAAN+/Qh+bOVAqzOift5AAgAhAgA=""}, ""phase"": 0}"
322878433,5347,QUIC_SESSION_PACKET_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""peer_address"": ""10.0.228.164:443"", ""self_address"": ""172.19.19.121:40399"", ""size"": 29}, ""phase"": 0}"
322878433,5347,QUIC_SESSION_UNAUTHENTICATED_PACKET_HEADER_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""connection_id"": ""0"", ""header_format"": ""GOOGLE_QUIC_PACKET"", ""packet_number"": 3, ""reset_flag"": 0, ""version_flag"": 0}, ""phase"": 0}"
322878435,5349,QUIC_SESSION_PACKET_AUTHENTICATED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""phase"": 0}"
322878435,5349,QUIC_SESSION_ACK_FRAME_RECEIVED,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""delta_time_largest_observed_us"": 33, ""largest_observed"": 2, ""missing_packets"": [], ""received_packet_times"": []}, ""phase"": 0}"
